HeatOutputPercent,MixedAirTemp,OutdoorAirEnthalpyReference,SpacePressSetpoint,SpacePressActive,SpaceRelativeHumidityActive,SpaceTemp,SpaceTempSetpointActive,SupplyAirPress,SupplyAirTemp,SupplyAirTempSetpoint
33.465,66.1134,19.4712,0.025,0.0358,23.5233,69.2097,61.0282,2.3525,58.2826,58.0
100.0,65.0153,19.4422,0.025,0.0358,24.1641,68.4897,61.0282,2.3083,56.1044,58.0
26.14,65.0153,19.4422,0.025,0.0347,24.6524,68.4897,61.0282,2.3966,57.4545,58.0
88.555,65.0153,19.7482,0.025,0.0342,23.7064,68.4897,61.0282,2.3123,59.0927,58.0
80.995,63.3771,18.9704,0.025,0.0306,29.6268,67.3735,61.0282,2.4127,56.5545,58.0
38.98,64.2952,18.2999,0.025,0.0295,28.8638,69.0117,61.0282,2.4006,59.4527,58.0
100.0,63.6472,17.8115,0.025,0.031,29.7794,69.0117,61.0282,2.3525,56.5545,58.0
59.73,62.7471,17.9294,0.025,0.033,31.8851,67.8056,61.0282,2.4127,58.8227,58.0
53.84,64.2952,17.709,0.025,0.0326,29.2606,69.4798,61.0282,2.3525,56.8245,58.0
100.0,62.459,17.4152,0.025,0.033,32.3734,67.9676,61.0282,2.3284,57.9226,58.0
41.84,62.459,19.9924,0.025,0.0339,32.3734,67.9676,61.0282,2.4087,59.0027,58.0
70.41,63.6472,19.5345,0.025,0.0339,30.054,69.3537,61.0282,2.3244,57.0045,58.0
100.0,61.919,19.2808,0.025,0.0329,32.9532,67.4995,61.0282,2.3685,57.0045,58.0
22.075,63.6472,19.0929,0.025,0.0329,29.6268,69.4077,61.0282,2.4006,58.5527,58.0
100.0,62.189,19.0541,0.025,0.0341,31.0001,68.1656,61.0282,2.3244,56.7345,58.0
49.21,62.189,18.9279,0.025,0.0321,32.0987,68.1656,61.0282,2.4127,58.6427,58.0
36.045,63.3771,18.4409,0.025,0.0312,29.6268,69.1197,61.0282,2.3605,58.6427,58.0
100.0,63.3771,18.5218,0.025,0.0327,30.2066,69.1197,61.0282,2.3204,57.6346,58.0
42.475,62.189,18.5218,0.025,0.032,32.1292,67.6616,61.0282,2.4047,57.6346,58.0
70.92,63.4671,18.5218,0.025,0.0355,28.8028,69.6058,61.0282,2.3163,59.3627,58.0
100.0,61.919,18.5218,0.025,0.0347,32.0987,67.6076,61.0282,2.3364,58.1926,58.0
31.785,63.2871,18.3137,0.025,0.0326,28.5587,69.2457,61.0282,2.3645,57.4545,58.0
100.0,62.369,18.3137,0.025,0.0335,29.8709,68.2916,61.0282,2.3284,58.7327,58.0
28.565,62.369,18.1229,0.025,0.0335,30.2066,68.2916,61.0282,2.4127,57.7246,58.0
91.025,62.369,18.2014,0.025,0.0335,28.1314,69.2457,61.0282,2.3244,57.7246,58.0
94.85,62.369,18.0732,0.025,0.0355,30.4508,67.7696,61.0282,2.3766,57.7246,58.0
45.505,62.369,18.1229,0.025,0.0333,28.6807,68.4536,61.0282,2.3725,59.1827,58.0
92.285,62.369,18.1229,0.025,0.0365,27.2769,68.4536,61.0282,2.3284,58.5527,58.0
76.02,61.559,18.1075,0.025,0.0339,29.9625,67.3375,61.0282,2.4127,56.7345,58.0
47.145,63.4671,18.1075,0.025,0.0339,26.1478,69.4437,61.0282,2.3685,57.3645,58.0
100.0,62.009,18.1538,0.025,0.0312,28.223,68.2916,61.0282,2.3324,58.5527,58.0
31.89,62.009,17.9659,0.025,0.0318,27.8873,68.2916,61.0282,2.4127,58.5527,58.0
75.725,63.0171,18.0444,0.025,0.035,26.1173,69.2817,61.0282,2.3204,56.7345,58.0
100.0,61.829,17.8875,0.025,0.035,27.9178,67.8956,61.0282,2.3725,56.7345,58.0
22.7,63.0171,17.8407,0.025,0.0345,26.6971,68.6517,61.0282,2.4047,59.0927,58.0
100.0,63.0171,17.8875,0.025,0.0338,26.0257,68.6517,61.0282,2.3204,59.0927,58.0
32.355,63.0171,17.4393,0.025,0.0353,26.9412,67.8596,61.0282,2.4247,57.0045,58.0
88.285,63.0171,17.3905,0.025,0.0338,24.2557,69.0837,61.0282,2.3123,57.0045,58.0
75.845,62.099,17.3905,0.025,0.0342,27.0328,67.1755,61.0282,2.4006,59.0027,58.0
44.36,63.7372,17.4393,0.025,0.0342,23.4622,69.4437,61.0282,2.3886,57.0945,58.0
100.0,62.459,17.1803,0.025,0.0342,25.629,67.7696,61.0282,2.3204,57.9226,58.0
29.24,63.2871,17.316,0.025,0.0356,24.0116,68.8137,61.0282,2.4127,57.9226,58.0
89.935,63.2871,17.2415,0.025,0.0344,23.035,68.8137,61.0282,2.3163,57.9226,58.0
100.0,62.189,17.2544,0.025,0.0333,26.1478,67.5356,61.0282,2.3324,57.9226,58.0
22.885,63.6472,17.316,0.025,0.0344,23.2791,68.8497,61.0282,2.4006,59.5608,58.0
100.0,63.6472,17.5625,0.025,0.0339,22.5162,68.8497,61.0282,2.3364,57.9226,58.0
29.56,62.9271,17.4533,0.025,0.0318,23.5233,67.9676,61.0282,2.4127,58.5527,58.0
83.9,63.6472,17.333,0.025,0.0344,21.4176,69.2817,61.0282,2.3204,58.5527,58.0
95.8,62.279,17.4095,0.025,0.0329,24.2252,67.1755,61.0282,2.3364,57.0945,58.0
33.455,63.7372,17.4095,0.025,0.0349,21.2955,68.6517,61.0282,2.4167,55.7264,58.0
90.1,63.7372,17.4533,0.025,0.0358,20.6241,68.6517,61.0282,2.3163,57.6346,58.0
99.135,62.7471,17.2983,0.025,0.035,22.3026,67.6616,61.0282,2.3485,58.2826,58.0
33.1,64.5653,17.5548,0.025,0.0327,19.8307,69.2457,61.0282,2.3806,56.7345,58.0
100.0,63.6472,17.5941,0.025,0.0307,21.4176,69.2457,61.0282,2.3043,59.6508,58.0
45.295,63.6472,17.8662,0.025,0.0303,22.1805,67.8596,61.0282,2.4087,56.7345,58.0
54.455,63.6472,17.9248,0.025,0.0326,19.4645,69.1197,61.0282,2.3605,57.8326,58.0
100.0,63.6472,17.9491,0.025,0.0358,20.8377,68.4176,61.0282,2.3163,58.8227,58.0
28.87,63.6472,17.9127,0.025,0.0344,22.3026,68.4176,61.0282,2.4127,56.1044,58.0
88.285,63.6472,17.9491,0.025,0.0344,20.4715,68.4176,61.0282,2.3083,58.7327,58.0
77.61,62.189,18.0916,0.025,0.0359,24.4388,67.2115,61.0282,2.4047,57.0045,58.0
42.575,63.7372,18.0916,0.025,0.0342,22.6383,68.9577,61.0282,2.3806,57.0045,58.0
100.0,63.7372,18.0916,0.025,0.0333,22.8824,68.9577,61.0282,2.3123,59.3627,58.0
48.87,62.189,17.9491,0.025,0.0333,25.2628,67.2115,61.0282,2.4287,56.4644,58.0
70.16,63.6472,18.0082,0.025,0.0347,21.8753,69.4437,61.0282,2.3244,57.8326,58.0
100.0,61.919,17.9248,0.025,0.0333,25.0186,67.3375,61.0282,2.3605,59.0027,58.0
31.95,63.5572,18.0082,0.025,0.0345,22.1805,69.3537,61.0282,2.3966,57.5446,58.0
100.0,62.369,18.1149,0.025,0.0356,24.2557,68.3276,61.0282,2.3163,56.7345,58.0
26.67,62.369,17.9127,0.025,0.0349,24.2557,68.3276,61.0282,2.4087,59.3627,58.0
93.225,62.369,17.9553,0.025,0.0349,23.8285,69.1197,61.0282,2.3123,58.5527,58.0
97.005,61.4689,18.1585,0.025,0.0349,27.338,67.8596,61.0282,2.3565,56.4644,58.0
26.095,63.1971,18.2404,0.025,0.0356,25.2933,69.2817,61.0282,2.3846,58.2826,58.0
100.0,62.099,18.2404,0.025,0.0349,27.0328,68.3276,61.0282,2.3324,58.2826,58.0
31.86,62.099,18.0738,0.025,0.0349,27.9178,68.3276,61.0282,2.4087,58.2826,58.0
77.56,62.9271,17.9496,0.025,0.0341,26.1173,69.4437,61.0282,2.3163,58.9127,58.0
100.0,61.4689,17.9659,0.025,0.0341,28.0094,67.8596,61.0282,2.3324,57.6346,58.0
26.95,62.8371,17.7632,0.025,0.0341,25.6595,68.8497,61.0282,2.4087,56.4644,58.0
