HeatOutputPercent,MixedAirTemp,OutdoorAirEnthalpyReference,SpacePressActive,SpaceRelativeHumidityActive,SpaceTemp,SupplyAirPress,SupplyAirTemp,SupplyAirTempSetpoint
40.875,62.189,19.4712,0.0252,27.9014,64.8353,1.931,55.9244,55.0
40.875,62.189,19.4422,0.0242,27.4742,64.8353,1.931,54.5563,55.0
40.875,62.189,19.4422,0.0246,27.108,64.8353,1.9189,53.8362,55.0
40.875,62.189,19.7482,0.0236,27.6573,64.8353,1.9189,55.7264,55.0
40.875,61.1989,18.9704,0.0202,30.3428,64.8353,1.935,54.4662,55.0
40.875,61.1989,18.2999,0.0205,32.1739,64.8353,1.935,56.1044,55.0
40.875,60.4608,17.8115,0.0231,33.0589,64.8353,1.9269,54.5563,55.0
40.875,60.4608,17.9294,0.0234,33.0589,64.8353,1.9269,54.5563,55.0
40.875,60.4608,17.709,0.0229,33.8218,64.8353,1.931,53.9262,55.0
41.76,60.4608,17.4152,0.0237,34.4627,64.8353,1.935,53.9262,55.0
41.76,60.4608,19.9924,0.0246,34.4627,64.8353,1.931,55.3663,55.0
41.76,60.4608,19.5345,0.0225,34.4627,64.8353,1.939,54.7363,55.0
41.76,59.8308,19.2808,0.0233,33.9744,64.8353,1.9269,55.5464,55.0
41.76,59.8308,19.0929,0.0233,33.9744,64.8353,1.939,54.3762,55.0
42.43,59.8308,19.0541,0.0229,33.9744,64.8353,1.935,55.8344,55.0
42.43,59.8308,18.9279,0.0213,33.6082,64.8353,1.939,54.1962,55.0
42.43,59.8308,18.4409,0.0219,33.6082,64.8353,1.935,54.1962,55.0
42.43,59.8308,18.5218,0.0236,33.6082,64.8353,1.935,54.9163,55.0
42.43,59.8308,18.5218,0.0226,33.6082,64.8353,1.931,54.9163,55.0
42.43,59.8308,18.5218,0.0248,33.6082,64.8353,1.935,54.9163,55.0
42.43,59.8308,18.5218,0.0248,33.181,64.8353,1.931,55.5464,55.0
42.43,59.8308,18.3137,0.0248,33.181,64.8353,1.935,54.9163,55.0
42.43,59.8308,18.3137,0.0243,32.8453,64.8353,1.931,54.9163,55.0
42.43,59.8308,18.1229,0.0239,32.8453,64.8353,1.931,54.9163,55.0
42.43,59.8308,18.2014,0.0234,32.8453,64.8353,1.931,54.9163,55.0
42.43,59.8308,18.0732,0.0249,32.1434,64.8353,1.9269,54.9163,55.0
42.43,59.8308,18.1229,0.0233,32.1434,64.8353,1.935,54.9163,55.0
42.43,59.8308,18.1229,0.0251,31.6246,64.8353,1.935,54.9163,55.0
42.43,59.8308,18.1075,0.0242,31.6246,64.8353,1.935,54.9163,55.0
42.43,59.8308,18.1075,0.0258,31.1363,64.8353,1.935,54.9163,55.0
42.43,59.1827,18.1538,0.022,31.1363,64.8353,1.935,54.9163,55.0
43.455,59.1827,17.9659,0.0226,31.1363,64.8353,1.931,54.9163,55.0
43.455,59.1827,18.0444,0.0237,30.7396,64.8353,1.9269,54.9163,55.0
43.455,59.1827,17.8875,0.0243,30.7396,64.8353,1.931,54.9163,55.0
43.455,59.1827,17.8407,0.0246,30.0377,64.8353,1.9269,54.9163,55.0
43.455,59.1827,17.8875,0.0242,29.4578,64.8353,1.9229,54.9163,55.0
43.455,59.9208,17.4393,0.0269,28.878,64.8353,1.9269,54.9163,55.0
43.455,59.9208,17.3905,0.0222,28.5118,64.8353,1.931,53.9262,55.0
43.455,59.9208,17.3905,0.024,28.2066,64.8353,1.931,53.9262,55.0
43.455,59.9208,17.4393,0.0245,27.8404,64.8353,1.931,53.9262,55.0
43.455,59.9208,17.1803,0.0239,27.8404,64.8353,1.935,55.6364,55.0
43.455,59.9208,17.316,0.0239,27.3521,64.8353,1.931,55.6364,55.0
43.455,59.9208,17.2415,0.0239,27.3521,64.8353,1.9269,55.0063,55.0
43.455,59.9208,17.2544,0.0246,27.9014,64.8353,1.931,55.0063,55.0
43.455,59.9208,17.316,0.0252,26.7113,64.8353,1.9229,55.0063,55.0
43.455,59.9208,17.5625,0.0225,26.0704,64.8353,1.931,55.0063,55.0
43.455,59.9208,17.4533,0.0225,25.7347,64.8353,1.9269,56.0144,55.0
43.455,59.9208,17.333,0.0251,25.3685,64.8353,1.935,56.0144,55.0
43.455,59.9208,17.4095,0.0239,25.3685,64.8353,1.9229,54.9163,55.0
0.0,59.9208,17.4095,0.0245,24.6361,64.8353,1.931,53.9262,55.0
82.58,60.6409,17.4533,0.0258,23.7511,64.8353,1.8788,54.7363,55.0
0.0,60.6409,17.2983,0.0234,23.7511,64.8353,1.943,56.0144,55.0
55.255,60.6409,17.5548,0.0251,24.514,64.8353,1.939,54.9163,55.0
6.815,61.829,17.5941,0.0213,22.8966,65.9154,1.9269,54.9163,55.0
0.0,60.4608,17.8662,0.0217,24.453,64.4753,1.951,54.9163,55.0
79.17,60.4608,17.9248,0.0236,22.5304,65.2673,1.8828,54.9163,55.0
0.0,61.1989,17.9491,0.0249,22.805,65.2673,1.939,54.9163,55.0
8.11,60.3708,17.9127,0.0249,24.4835,64.4753,1.947,55.8344,55.0
76.93,60.3708,17.9491,0.0249,23.1407,65.4293,1.8627,56.4644,55.0
0.0,60.3708,18.0916,0.0249,24.6361,65.4293,1.947,54.5563,55.0
35.2,60.3708,18.0916,0.0245,26.3756,64.3672,1.951,54.5563,55.0
51.695,61.1989,18.0916,0.0242,24.6666,65.7174,1.8988,54.5563,55.0
0.0,60.1908,17.9491,0.0237,26.1009,64.7993,1.955,54.5563,55.0
72.725,60.1908,18.0082,0.0245,26.1009,64.7993,1.8868,54.5563,55.0
0.0,60.1908,17.9248,0.0248,24.9107,65.4653,1.939,55.7264,55.0
24.39,59.4527,18.0082,0.0255,26.4976,64.3132,1.951,55.7264,55.0
42.435,60.7309,18.1149,0.0242,24.3004,66.2214,1.8788,55.7264,55.0
0.0,59.6508,17.9127,0.0242,26.8028,64.7993,1.951,55.0063,55.0
79.525,59.0027,17.9553,0.0242,28.0235,64.7993,1.9109,55.0063,55.0
0.0,60.4608,18.1585,0.0246,26.4366,65.9154,1.939,55.0063,55.0
0.0,59.2727,18.2404,0.0246,29.0611,64.6373,1.9591,55.0063,55.0
77.81,59.2727,18.2404,0.0249,28.4508,65.4293,1.8707,55.0063,55.0
0.0,59.2727,18.0738,0.0242,29.824,65.4293,1.955,55.0063,55.0
57.925,59.2727,17.9496,0.0242,30.8922,64.1692,1.947,55.0063,55.0
5.45,60.3708,17.9659,0.0245,27.8099,65.9514,1.931,54.1062,55.0
0.0,59.1827,17.7632,0.0248,29.2137,64.6733,1.951,54.8263,55.0
75.725,59.1827,17.4651,0.0254,27.4437,65.4653,1.8707,54.8263,55.0
0.0,59.1827,17.4651,0.0246,28.0235,65.4653,1.951,54.8263,55.0
74.29,59.1827,17.152,0.0228,28.0235,64.5653,1.9109,54.8263,55.0
16.29,60.0108,17.2772,0.0237,26.3756,65.3213,1.939,55.5464,55.0
46.29,59.0027,17.2042,0.0249,27.6573,64.3132,1.943,55.5464,55.0
58.315,60.0108,17.2042,0.0258,25.6126,65.5914,1.8988,54.9163,55.0
0.95,60.0108,17.2042,0.0251,26.8028,64.7993,1.951,54.9163,55.0
81.995,59.0927,17.2544,0.0245,26.8028,64.7993,1.9149,54.9163,55.0
0.0,60.2808,16.985,0.0251,24.514,65.6634,1.943,54.9163,55.0
12.35,59.1827,16.985,0.0251,25.6737,64.4032,1.955,54.9163,55.0
73.605,60.1008,16.912,0.0248,24.0867,65.5554,1.8828,54.9163,55.0
0.0,60.1008,17.0323,0.0233,24.0867,65.5554,1.951,54.9163,55.0
59.375,59.0927,16.9434,0.0225,24.6666,64.2052,1.951,54.9163,55.0
0.0,60.4608,17.0617,0.0237,21.981,65.8254,1.931,54.9163,55.0
3.27,59.3627,16.8842,0.0233,23.5985,64.4753,1.955,54.9163,55.0
87.23,59.3627,16.8842,0.0228,22.6219,65.3933,1.8747,54.9163,55.0
